id,num_prompt_tokens,num_input_tokens,effective_num_gist_tokens,gist_index,first_run,model,cpu_time,cuda_time,flops
0,58,34,1,23,standard,standard,60575,20499,768285567292
0,58,34,1,23,standard,gist,65351,20760,449963612688
1,30,2,1,27,gist,standard,65960,19874,396947951300
1,30,2,1,27,gist,gist,62833,18143,26435078288
2,67,23,1,43,gist,standard,63968,24394,887819016280
2,67,23,1,43,gist,gist,62819,19956,304254331454
3,50,9,1,40,gist,standard,64246,20395,662105055340
3,50,9,1,40,gist,gist,64124,19025,118990015238
4,37,2,1,34,standard,standard,60593,20158,489705134140
4,37,2,1,34,standard,gist,67918,18200,26435078288
5,25,11,1,13,standard,standard,60425,19650,330724339540
5,25,11,1,13,standard,gist,67822,19095,145443738590
6,29,12,1,16,standard,standard,60293,20068,383701127692
6,29,12,1,16,standard,gist,67702,19190,158672176208
7,138,116,1,21,gist,standard,64291,32109,1833788897372
7,138,116,1,21,gist,gist,65156,28961,1540166117360
8,29,9,1,19,gist,standard,64007,20062,383701127692
8,29,9,1,19,gist,gist,62237,19050,118990015238
9,33,11,1,21,gist,standard,64680,18305,436694725892
9,33,11,1,21,gist,gist,63296,19099,145443738590
10,19,2,1,16,standard,standard,59622,19224,251290676152
10,19,2,1,16,standard,gist,76449,16009,26435078288
11,47,30,1,16,gist,standard,64221,20650,622304698720
11,47,30,1,16,gist,gist,63203,20795,396963710720
12,46,7,1,38,gist,standard,66124,20458,609040014436
12,46,7,1,38,gist,gist,63613,18762,92540494398
13,152,132,1,19,standard,standard,59623,32184,2020943293360
13,152,132,1,19,standard,gist,65636,33123,1753712249648
14,25,2,1,22,standard,standard,60455,19643,330724339540
14,25,2,1,22,standard,gist,67596,18161,26435078288
15,29,2,1,26,standard,standard,61110,20048,383701127692
15,29,2,1,26,standard,gist,63937,18144,26435078288
16,25,8,1,16,standard,standard,60878,19635,330724339540
16,25,8,1,16,standard,gist,67345,19050,105764729504
17,70,27,1,42,gist,standard,78024,24168,927682410580
17,70,27,1,42,gist,gist,63817,20443,357224815838
18,19,2,1,16,standard,standard,59771,19547,251290676152
18,19,2,1,16,standard,gist,68279,18150,26435078288
19,136,111,1,24,standard,standard,60594,31808,1807069365136
19,136,111,1,24,standard,gist,69289,28505,1473488108990
20,43,26,1,16,gist,standard,66647,20488,569252265352
20,43,26,1,16,gist,gist,62619,20367,343980618800
21,88,78,1,9,standard,standard,60426,26892,1167061345072
21,88,78,1,9,standard,gist,68818,25400,1034071997504
22,54,15,1,38,standard,standard,61602,20187,715186906292
22,54,15,1,38,standard,gist,67821,19255,198363792830
23,48,32,1,15,standard,standard,59330,20353,635570433632
23,48,32,1,15,standard,gist,69575,20889,423461560448
24,78,15,1,62,standard,standard,62020,24305,1034031023012
24,78,15,1,62,standard,gist,68685,19272,198363792830
25,42,7,1,34,gist,standard,66948,20333,555991783580
25,42,7,1,34,gist,gist,62088,18750,92540494398
26,53,30,1,22,standard,standard,63433,20385,701914867612
26,53,30,1,22,standard,gist,69706,20780,396963710720
27,29,2,1,26,gist,standard,66695,20060,383701127692
27,29,2,1,26,gist,gist,65404,18128,26435078288
28,52,33,1,18,gist,standard,60639,20133,688643879560
28,52,33,1,18,gist,gist,63057,20553,436712061254
29,104,74,1,29,standard,standard,60658,27470,1380128390992
29,104,74,1,29,standard,gist,66387,25313,980887185008
30,34,19,1,14,gist,standard,66239,19885,449945752012
30,34,19,1,14,gist,gist,62938,19905,251300657118
31,44,25,1,18,standard,standard,61080,20362,582513797752
31,44,25,1,18,standard,gist,67620,20181,330737472390
32,47,13,1,33,standard,standard,61114,20708,622304698720
32,47,13,1,33,standard,gist,69088,19167,171901664454
33,51,14,1,36,gist,standard,69163,20360,675373942136
33,51,14,1,36,gist,gist,62809,19405,185132203328
34,42,24,1,17,gist,standard,66480,20317,555991783580
34,42,24,1,17,gist,gist,64632,20343,317495376608
35,206,192,1,13,gist,standard,73060,39715,2744753488036
35,206,192,1,13,gist,gist,66168,34882,2556905677568
36,33,16,1,16,standard,standard,61140,20022,436694725892
36,33,16,1,16,standard,gist,63418,19781,211596432960
37,182,160,1,21,standard,standard,63713,33355,2422681842100
37,182,160,1,21,standard,gist,70570,33889,2128065168000
38,54,27,1,26,gist,standard,67164,20337,715186906292
38,54,27,1,26,gist,gist,63099,20464,357224815838
39,38,10,1,27,standard,standard,60770,20037,502960362772
39,38,10,1,27,standard,gist,68594,19164,132216351600
40,57,41,1,15,standard,standard,61582,20686,755009326100
40,57,41,1,15,standard,gist,68920,21053,542753890310
41,61,38,1,22,standard,standard,59974,20671,808120594636
41,61,38,1,22,standard,gist,71951,20937,502980324704
42,115,84,1,30,standard,standard,63594,27984,1526768003320
42,115,84,1,30,standard,gist,67241,28106,1113880735088
43,25,9,1,15,gist,standard,67396,19613,330724339540
43,25,9,1,15,gist,gist,64387,19206,118990015238
44,26,2,1,23,standard,standard,59786,19505,343966960636
44,26,2,1,23,standard,gist,68406,18128,26435078288
45,31,2,1,28,gist,standard,67119,20103,410195825536
45,31,2,1,28,gist,gist,63821,18163,26435078288
46,25,2,1,22,standard,standard,61387,19627,330724339540
46,25,2,1,22,standard,gist,63879,18077,26435078288
47,275,240,1,34,gist,standard,81958,42345,3674080410040
47,275,240,1,34,gist,gist,70652,39741,3202183647680
48,38,8,1,29,gist,standard,61620,20052,502960362772
48,38,8,1,29,gist,gist,64148,19048,105764729504
49,46,13,1,32,standard,standard,61070,20418,609040014436
49,46,13,1,32,standard,gist,68450,19173,171901664454
50,41,13,1,27,gist,standard,66779,20436,542732352436
50,41,13,1,27,gist,gist,63675,19178,171901664454
51,155,134,1,20,gist,standard,62095,32678,2061074597800
51,155,134,1,20,gist,gist,64131,33288,1780424427488
52,19,2,1,16,gist,standard,59559,19359,251290676152
52,19,2,1,16,gist,gist,65738,18147,26435078288
53,40,9,1,30,gist,standard,67363,20057,529473971920
53,40,9,1,30,gist,gist,64331,19027,118990015238
54,34,8,1,25,gist,standard,66657,19880,449945752012
54,34,8,1,25,gist,gist,62764,19134,105764729504
55,45,19,1,25,gist,standard,66003,20594,595776380780
55,45,19,1,25,gist,gist,63463,19883,251300657118
56,32,9,1,22,standard,standard,59736,19868,423444750400
56,32,9,1,22,standard,gist,69159,19015,118990015238
57,272,238,1,33,standard,standard,74683,44872,3633570879520
57,272,238,1,33,standard,gist,71406,35279,3175248736704
58,180,163,1,16,standard,standard,62900,33334,2395869854600
58,180,163,1,16,standard,gist,69900,33922,2168223263454
59,43,25,1,17,standard,standard,61305,20493,569252265352
59,43,25,1,17,standard,gist,68214,20191,330737472390
60,28,9,1,18,standard,standard,60712,19839,370455354712
60,28,9,1,18,standard,gist,69873,19003,118990015238
61,26,16,1,9,standard,standard,61872,19487,343966960636
61,26,16,1,9,standard,gist,71055,19781,211596432960
62,26,7,1,18,gist,standard,66656,19511,343966960636
62,26,7,1,18,gist,gist,64276,18788,92540494398
63,84,66,1,17,standard,standard,61208,26945,1113836608712
63,84,66,1,17,standard,gist,68469,25142,874567990160
64,37,16,1,20,standard,standard,60796,20186,489705134140
64,37,16,1,20,standard,gist,69951,19824,211596432960
65,47,9,1,37,gist,standard,67164,20675,622304698720
65,47,9,1,37,gist,gist,63971,18996,118990015238
66,129,79,1,49,standard,standard,61045,32108,1713584097092
66,129,79,1,49,standard,gist,70003,25008,1047370827198
67,437,373,1,63,gist,standard,92371,62989,5875636701340
67,437,373,1,63,gist,gist,81820,50383,5002787240454
68,31,15,1,15,standard,standard,61019,20119,410195825536
68,31,15,1,15,standard,gist,62844,19249,198363792830
69,23,2,1,20,gist,standard,66778,19484,304242249232
69,23,2,1,20,gist,gist,63824,18104,26435078288
70,36,16,1,19,gist,standard,63966,19971,476450956136
70,36,16,1,19,gist,gist,63457,19758,211596432960
71,101,81,1,19,standard,standard,60663,27687,1340157832636
71,101,81,1,19,standard,gist,71255,25221,1073971638470
72,24,2,1,21,standard,standard,61000,19405,317482769072
72,24,2,1,21,standard,gist,68417,18180,26435078288
73,32,11,1,20,gist,standard,63500,19826,423444750400
73,32,11,1,20,gist,gist,64067,19123,145443738590
74,68,43,1,24,gist,standard,67638,24106,901105763752
74,68,43,1,24,gist,gist,66381,21068,569274853854
75,58,41,1,16,gist,standard,66792,19286,768285567292
75,58,41,1,16,gist,gist,63228,19103,542753890310
76,45,28,1,16,gist,standard,65135,20595,595776380780
76,45,28,1,16,gist,gist,64661,20733,370470063504
77,51,2,1,48,standard,standard,61449,20372,675373942136
77,51,2,1,48,standard,gist,68485,18158,26435078288
78,23,7,1,15,standard,standard,59439,19476,304242249232
78,23,7,1,15,standard,gist,69514,18761,92540494398
79,63,40,1,22,standard,standard,62489,20797,834682532672
79,63,40,1,22,standard,gist,67598,20938,529494984480
80,27,2,1,24,gist,standard,62462,19938,357210632360
80,27,2,1,24,gist,gist,66295,18144,26435078288
81,50,29,1,20,gist,standard,63914,20295,662105055340
81,50,29,1,20,gist,gist,62853,20575,383716361798
82,170,131,1,38,standard,standard,62448,34076,2261872954780
82,170,131,1,38,standard,gist,69245,32805,1740357736670
83,48,8,1,39,standard,standard,60983,20353,635570433632
83,48,8,1,39,standard,gist,69414,19072,105764729504
84,26,6,1,19,standard,standard,61343,19495,343966960636
84,26,6,1,19,standard,gist,68835,18714,79317309920
85,94,25,1,68,standard,standard,59376,27411,1246929968452
85,94,25,1,68,standard,gist,68839,20182,330737472390
86,20,2,1,17,gist,standard,67035,19079,264526993480
86,20,2,1,17,gist,gist,64363,18097,26435078288
87,59,10,1,48,gist,standard,62421,20664,781562859112
87,59,10,1,48,gist,gist,63585,19146,132216351600
88,119,95,1,23,gist,standard,72590,28072,1580123017552
88,119,95,1,23,gist,gist,62945,28029,1260294987710
89,17,2,1,14,standard,standard,60815,19312,224821193380
89,17,2,1,14,standard,gist,69897,18152,26435078288
90,27,2,1,24,standard,standard,60373,19897,357210632360
90,27,2,1,24,standard,gist,70032,18153,26435078288
91,24,8,1,15,gist,standard,64238,19413,317482769072
91,24,8,1,15,gist,gist,64225,19051,105764729504
92,45,27,1,17,gist,standard,65874,20613,595776380780
92,45,27,1,17,gist,gist,63851,20447,357224815838
93,460,441,1,18,gist,standard,84661,52179,6190438546360
93,460,441,1,18,gist,gist,102071,63104,5930576587910
94,70,45,1,24,gist,standard,70363,24129,927682410580
94,70,45,1,24,gist,gist,64129,21194,595800019910
95,66,7,1,58,standard,standard,61200,24103,874533319436
95,66,7,1,58,standard,gist,67629,18791,92540494398
96,317,224,1,92,gist,standard,80071,47541,4242206680780
96,317,224,1,92,gist,gist,70391,39072,2986822030208
97,41,26,1,14,standard,standard,59924,20432,542732352436
97,41,26,1,14,standard,gist,65123,20397,343980618800
98,58,36,1,21,standard,standard,61652,20348,768285567292
98,58,36,1,21,standard,gist,67846,20850,476469867440
99,68,53,1,14,standard,standard,60977,24121,901105763752
99,68,53,1,14,standard,gist,69170,20952,701942709254
100,88,35,1,52,standard,standard,59136,26874,1167061345072
100,88,35,1,52,standard,gist,69455,20680,463216214750
101,22,9,1,12,gist,standard,64654,19146,291002780020
101,22,9,1,12,gist,gist,64109,19041,118990015238
102,31,9,1,21,standard,standard,61534,20119,410195825536
102,31,9,1,21,standard,gist,64697,19010,118990015238
103,24,2,1,21,gist,standard,66978,19419,317482769072
103,24,2,1,21,gist,gist,62397,18111,26435078288
104,306,281,1,24,gist,standard,75300,46530,4093232573036
104,306,281,1,24,gist,gist,90841,47240,3755275451270
105,72,31,1,40,standard,standard,61622,23984,954263259920
105,72,31,1,40,standard,gist,65215,20551,410212110270
106,35,9,1,25,standard,standard,60177,20091,463197828760
106,35,9,1,25,standard,gist,70379,19024,118990015238
107,55,26,1,28,gist,standard,66832,20706,728459995600
107,55,26,1,28,gist,gist,64763,20374,343980618800
108,31,12,1,18,standard,standard,61580,20147,410195825536
108,31,12,1,18,standard,gist,69960,19064,158672176208
109,29,9,1,19,standard,standard,60486,20033,383701127692
109,29,9,1,19,standard,gist,63423,19035,118990015238
110,19,2,1,16,standard,standard,65350,19368,251290676152
110,19,2,1,16,standard,gist,70234,18160,26435078288
111,112,62,1,49,standard,standard,60840,27611,1486762774240
111,112,62,1,49,standard,gist,69443,21491,821433607808
112,315,286,1,28,gist,standard,79285,46437,4215111023720
112,315,286,1,28,gist,gist,80506,47716,3822846493440
113,39,22,1,16,gist,standard,65894,20265,516216642032
113,39,22,1,16,gist,gist,62821,20021,291014336928
114,35,8,1,26,gist,standard,65058,20093,463197828760
114,35,8,1,26,gist,gist,64428,19049,105764729504
115,35,7,1,27,gist,standard,66306,20112,463197828760
115,35,7,1,27,gist,gist,64406,18741,92540494398
116,30,12,1,17,gist,standard,68736,19896,396947951300
116,30,12,1,17,gist,gist,62961,19161,158672176208
117,33,13,1,19,standard,standard,61401,20016,436694725892
117,33,13,1,19,standard,gist,69503,19168,171901664454
118,24,9,1,14,gist,standard,66277,19436,317482769072
118,24,9,1,14,gist,gist,64345,19059,118990015238
119,84,34,1,49,gist,standard,66472,27131,1113836608712
119,84,34,1,49,gist,gist,63496,20788,449963612688
120,19,2,1,16,gist,standard,75783,19358,251290676152
120,19,2,1,16,gist,gist,62634,18172,26435078288
121,87,74,1,12,gist,standard,61335,27324,1153753585040
121,87,74,1,12,gist,gist,64620,25321,980887185008
122,291,274,1,16,standard,standard,74728,46843,3890290934936
122,291,274,1,16,standard,gist,86528,47628,3660720118608
123,27,13,1,13,standard,standard,60248,19904,357210632360
123,27,13,1,13,standard,gist,70293,19192,171901664454
124,55,23,1,31,standard,standard,63204,20675,728459995600
124,55,23,1,31,standard,gist,66928,19967,304254331454
125,31,13,1,17,standard,standard,61820,20131,410195825536
125,31,13,1,17,standard,gist,65014,19176,171901664454
126,46,14,1,31,gist,standard,66905,20428,609040014436
126,46,14,1,31,gist,gist,62342,19312,185132203328
127,21,2,1,18,gist,standard,65247,19311,277764361436
127,21,2,1,18,gist,gist,64112,18088,26435078288
128,56,2,1,53,standard,standard,60415,20418,741734135536
128,56,2,1,53,standard,gist,70214,18114,26435078288
129,50,14,1,35,gist,standard,66191,20310,662105055340
129,50,14,1,35,gist,gist,64340,19302,185132203328
130,53,15,1,37,standard,standard,61888,20434,701914867612
130,53,15,1,37,standard,gist,65028,19274,198363792830
131,29,10,1,18,standard,standard,60642,20058,383701127692
131,29,10,1,18,standard,gist,69552,19107,132216351600
132,83,58,1,24,standard,standard,60723,27173,1100533051192
132,83,58,1,24,standard,gist,69599,21377,768316035504
133,32,2,1,29,standard,standard,61223,19891,423444750400
133,32,2,1,29,standard,gist,69648,18116,26435078288
134,34,8,1,25,gist,standard,66898,19891,449945752012
134,34,8,1,25,gist,gist,71753,19062,105764729504
135,50,30,1,19,standard,standard,61399,20374,662105055340
135,50,30,1,19,standard,gist,70875,20786,396963710720
136,35,8,1,26,gist,standard,66592,20086,463197828760
136,35,8,1,26,gist,gist,62921,19055,105764729504
137,182,160,1,21,gist,standard,71876,33427,2422681842100
137,182,160,1,21,gist,gist,66825,33822,2128065168000
138,31,2,1,28,standard,standard,60498,20125,410195825536
138,31,2,1,28,standard,gist,70091,18104,26435078288
139,35,12,1,22,gist,standard,68253,20093,463197828760
139,35,12,1,22,gist,gist,64308,19193,158672176208
140,32,17,1,14,gist,standard,66887,18355,423444750400
140,32,17,1,14,gist,gist,63375,19803,224830123718
141,73,2,1,70,standard,standard,61801,24433,967555260532
141,73,2,1,70,standard,gist,67593,15981,26435078288
142,28,8,1,19,standard,standard,61322,19978,370455354712
142,28,8,1,19,standard,gist,70772,19037,105764729504
143,25,2,1,22,standard,standard,60393,19776,330724339540
143,25,2,1,22,standard,gist,70456,18153,26435078288
144,46,2,1,43,standard,standard,61549,20469,609040014436
144,46,2,1,43,standard,gist,68548,18160,26435078288
145,68,45,1,22,standard,standard,60679,24134,901105763752
145,68,45,1,22,standard,gist,69566,21186,595800019910
146,26,9,1,16,gist,standard,65571,19492,343966960636
146,26,9,1,16,gist,gist,64499,19037,118990015238
147,32,2,1,29,gist,standard,66072,19907,423444750400
147,32,2,1,29,gist,gist,64098,18148,26435078288
148,68,43,1,24,standard,standard,59517,24111,901105763752
148,68,43,1,24,standard,gist,70358,21102,569274853854
149,56,18,1,37,standard,standard,60672,20450,741734135536
149,56,18,1,37,standard,gist,69218,20193,238064865104
150,194,159,1,34,gist,standard,70339,39194,2583642019852
150,194,159,1,34,gist,gist,65476,33198,2114681237438
151,60,2,1,57,standard,standard,60019,20476,794841201560
151,60,2,1,57,standard,gist,69890,18141,26435078288
152,34,20,1,13,standard,standard,61558,19869,449945752012
152,34,20,1,13,standard,gist,68373,19956,264537499760
153,31,6,1,24,standard,standard,61733,20117,410195825536
153,31,6,1,24,standard,gist,70499,18698,79317309920
154,47,24,1,22,gist,standard,67967,20682,622304698720
154,47,24,1,22,gist,gist,63469,20328,317495376608
155,43,10,1,32,standard,standard,61457,20496,569252265352
155,43,10,1,32,standard,gist,73306,19122,132216351600
156,41,23,1,17,gist,standard,65811,20435,542732352436
156,41,23,1,17,gist,gist,63279,19973,304254331454
157,61,23,1,37,gist,standard,65703,20740,808120594636
157,61,23,1,37,gist,gist,63527,19983,304254331454
158,59,9,1,49,standard,standard,61692,20677,781562859112
158,59,9,1,49,standard,gist,68371,19034,118990015238
159,23,6,1,16,gist,standard,66527,19503,304242249232
159,23,6,1,16,gist,gist,64159,18681,79317309920
160,201,186,1,14,standard,standard,65620,40019,2677605323636
160,201,186,1,14,standard,gist,70748,33712,2476416133040
161,77,30,1,46,gist,standard,67548,24664,1020733769260
161,77,30,1,46,gist,gist,68325,20770,396963710720
162,81,18,1,62,gist,standard,66065,24671,1073929088036
162,81,18,1,62,gist,gist,64820,20056,238064865104
163,39,18,1,20,gist,standard,67454,20215,516216642032
163,39,18,1,20,gist,gist,64616,20043,238064865104
164,105,80,1,24,standard,standard,61118,27806,1393454011700
164,105,80,1,24,standard,gist,72136,25432,1060670707520
165,29,7,1,21,gist,standard,65195,20049,383701127692
165,29,7,1,21,gist,gist,64387,18762,92540494398
166,31,9,1,21,standard,standard,61999,20135,410195825536
166,31,9,1,21,standard,gist,70438,19035,118990015238
167,34,13,1,20,standard,standard,60130,19894,449945752012
167,34,13,1,20,standard,gist,69441,19320,171901664454
168,30,10,1,19,standard,standard,62708,19895,396947951300
168,30,10,1,19,standard,gist,69656,19123,132216351600
169,18,7,1,10,gist,standard,66702,19167,238055409452
169,18,7,1,10,gist,gist,64154,18752,92540494398
170,134,110,1,23,gist,standard,66925,32014,1780354035412
170,134,110,1,23,gist,gist,64078,28817,1460155659200
171,24,2,1,21,standard,standard,60530,19397,317482769072
171,24,2,1,21,standard,gist,68947,18126,26435078288
172,20,2,1,17,gist,standard,64101,19085,264526993480
172,20,2,1,17,gist,gist,63921,18134,26435078288
173,87,38,1,48,standard,standard,60767,27309,1153753585040
173,87,38,1,48,standard,gist,69734,18667,502980324704
174,19,2,1,16,gist,standard,67219,19350,251290676152
174,19,2,1,16,gist,gist,62988,18122,26435078288
175,25,2,1,22,standard,standard,61664,19637,330724339540
175,25,2,1,22,standard,gist,68904,18134,26435078288
176,63,28,1,34,gist,standard,62045,20807,834682532672
176,63,28,1,34,gist,gist,64769,20719,370470063504
177,161,128,1,32,standard,standard,60545,32868,2141365573636
177,161,128,1,32,standard,gist,69381,29468,1700300501504
178,48,14,1,33,gist,standard,64345,20275,635570433632
178,48,14,1,33,gist,gist,64455,19324,185132203328
179,185,67,1,117,standard,standard,64594,33719,2462907703060
179,185,67,1,117,standard,gist,70108,24927,887854212318
180,23,2,1,20,standard,standard,60083,19491,304242249232
180,23,2,1,20,standard,gist,69008,18259,26435078288
181,19,2,1,16,standard,standard,61096,19346,251290676152
181,19,2,1,16,standard,gist,68681,18305,26435078288
182,31,2,1,28,gist,standard,65691,20267,410195825536
182,31,2,1,28,gist,gist,65246,18144,26435078288
183,100,85,1,14,gist,standard,65310,27473,1326836414440
183,100,85,1,14,gist,gist,61378,27855,1127185868550
184,51,33,1,17,standard,standard,61755,20424,675373942136
184,51,33,1,17,standard,gist,69827,20570,436712061254
185,165,137,1,27,gist,standard,66203,33164,2194913903420
185,165,137,1,27,gist,gist,64567,33093,1820500573958
186,53,32,1,20,gist,standard,65838,20510,701914867612
186,53,32,1,20,gist,gist,64242,20841,423461560448
187,270,249,1,20,gist,standard,80651,45857,3606569778980
187,270,249,1,20,gist,gist,70349,38472,3323442753158
188,59,42,1,16,gist,standard,65653,20667,781562859112
188,59,42,1,16,gist,gist,65091,21265,556013846768
189,76,44,1,31,standard,standard,62211,24252,1007437566136
189,76,44,1,31,standard,gist,69726,21374,582536911568
190,169,133,1,35,standard,standard,61337,34195,2248479043252
190,169,133,1,35,standard,gist,70510,32906,1767067813254
191,30,8,1,21,gist,standard,67102,19884,396947951300
191,30,8,1,21,gist,gist,64349,19073,105764729504
192,28,10,1,17,gist,standard,65224,19815,370455354712
192,28,10,1,17,gist,gist,62714,19157,132216351600
193,34,15,1,18,gist,standard,60574,19879,449945752012
193,34,15,1,18,gist,gist,64513,19255,198363792830
194,24,7,1,16,standard,standard,61295,19406,317482769072
194,24,7,1,16,standard,gist,70795,18717,92540494398
195,35,9,1,25,standard,standard,59724,20122,463197828760
195,35,9,1,25,standard,gist,70529,19039,118990015238
196,62,43,1,18,gist,standard,67562,20473,821401038340
196,62,43,1,18,gist,gist,64405,21104,569274853854
197,39,8,1,30,gist,standard,62116,20242,516216642032
197,39,8,1,30,gist,gist,62537,19091,105764729504
198,25,10,1,14,gist,standard,67664,19650,330724339540
198,25,10,1,14,gist,gist,63132,19107,132216351600
199,145,128,1,16,gist,standard,66358,32528,1927340354980
199,145,128,1,16,gist,gist,64811,29467,1700300501504
200,100,57,1,42,gist,standard,61557,27492,1326836414440
200,100,57,1,42,gist,gist,63337,21267,755039268998
201,39,12,1,26,standard,standard,61810,20268,516216642032
201,39,12,1,26,standard,gist,69004,19213,158672176208
202,23,8,1,14,standard,standard,61262,19501,304242249232
202,23,8,1,14,standard,gist,72506,19027,105764729504
203,22,2,1,19,gist,standard,65526,19144,291002780020
203,22,2,1,19,gist,gist,64173,18089,26435078288
204,137,56,1,80,gist,standard,67857,32335,1820428605940
204,137,56,1,80,gist,gist,65106,21411,741763553120
205,31,2,1,28,standard,standard,60368,20131,410195825536
205,31,2,1,28,standard,gist,68487,18313,26435078288
206,117,62,1,54,standard,standard,61246,28098,1553443409180
206,117,62,1,54,standard,gist,64339,21471,821433607808
207,108,92,1,15,gist,standard,67024,27584,1433437177592
207,108,92,1,15,gist,gist,63472,25132,1220351220368
208,81,53,1,27,standard,standard,61288,24593,1073929088036
208,81,53,1,27,standard,gist,71271,20993,701942709254
209,27,2,1,24,standard,standard,61786,19923,357210632360
209,27,2,1,24,standard,gist,70444,18119,26435078288
210,24,7,1,16,gist,standard,66858,19426,317482769072
210,24,7,1,16,gist,gist,62485,18749,92540494398
211,28,14,1,13,gist,standard,65701,19808,370455354712
211,28,14,1,13,gist,gist,67874,19472,185132203328
212,99,59,1,39,gist,standard,76461,27666,1313516046872
212,99,59,1,39,gist,gist,64800,21251,781593852638
213,46,7,1,38,standard,standard,60146,20480,609040014436
213,46,7,1,38,standard,gist,69754,18713,92540494398
214,59,43,1,15,gist,standard,67808,20640,781562859112
214,59,43,1,15,gist,gist,64608,21136,569274853854
215,40,12,1,27,standard,standard,59817,20120,529473971920
215,40,12,1,27,standard,gist,70566,19312,158672176208
216,21,2,1,18,standard,standard,61043,19314,277764361436
216,21,2,1,18,standard,gist,67680,18122,26435078288
217,49,21,1,27,gist,standard,66376,20574,648837219172
217,49,21,1,27,gist,gist,63704,19830,277775393030
218,31,11,1,19,gist,standard,66533,20103,410195825536
218,31,11,1,19,gist,gist,63172,19092,145443738590
219,34,9,1,24,gist,standard,65527,19898,449945752012
219,34,9,1,24,gist,gist,64758,19059,118990015238
220,76,58,1,17,gist,standard,66865,24240,1007437566136
220,76,58,1,17,gist,gist,64623,21353,768316035504
221,71,34,1,36,gist,standard,67281,24432,940972309936
221,71,34,1,36,gist,gist,63147,20797,449963612688
222,71,39,1,31,standard,standard,61884,24444,940972309936
222,71,39,1,31,standard,gist,68782,20769,516237129278
223,29,12,1,16,standard,standard,61695,20075,383701127692
223,29,12,1,16,standard,gist,71337,19349,158672176208
224,22,2,1,19,standard,standard,59617,19164,291002780020
224,22,2,1,19,standard,gist,70294,18106,26435078288
225,26,8,1,17,standard,standard,61378,19495,343966960636
225,26,8,1,17,standard,gist,70610,19072,105764729504
226,107,57,1,49,gist,standard,65505,27811,1420108405000
226,107,57,1,49,gist,gist,63246,21256,755039268998
227,106,84,1,21,standard,standard,61164,27532,1406780683036
227,106,84,1,21,standard,gist,67532,28049,1113880735088
228,189,170,1,18,gist,standard,71420,33668,2516556893132
228,189,170,1,18,gist,gist,66676,35177,2261962258160
229,292,275,1,16,gist,standard,78259,43910,3903813023080
229,292,275,1,16,gist,gist,80192,46816,3674224871390
230,30,13,1,16,gist,standard,61782,19894,396947951300
230,30,13,1,16,gist,gist,64258,19179,171901664454
231,44,20,1,23,gist,standard,66901,20322,582513797752
231,44,20,1,23,gist,gist,64699,19974,264537499760
232,36,9,1,26,gist,standard,64798,19972,476450956136
232,36,9,1,26,gist,gist,64441,19033,118990015238
233,184,151,1,32,standard,standard,64024,32949,2449498032112
233,184,151,1,32,standard,gist,71001,33079,2007647615550
234,29,10,1,18,standard,standard,60243,20059,383701127692
234,29,10,1,18,standard,gist,70396,19135,132216351600
235,116,2,1,113,gist,standard,62483,27807,1540105180936
235,116,2,1,113,gist,gist,64112,18122,26435078288
236,44,16,1,27,standard,standard,60286,20342,582513797752
236,44,16,1,27,standard,gist,69108,19840,211596432960
237,33,14,1,18,standard,standard,61902,20026,436694725892
237,33,14,1,18,standard,gist,65945,19310,185132203328
238,18,2,1,15,gist,standard,65193,19193,238055409452
238,18,2,1,15,gist,gist,64412,18114,26435078288
239,39,15,1,23,standard,standard,60390,20259,516216642032
239,39,15,1,23,standard,gist,66878,19282,198363792830
240,48,28,1,19,gist,standard,66014,20307,635570433632
240,48,28,1,19,gist,gist,64709,18578,370470063504
241,35,25,1,9,gist,standard,69052,20105,463197828760
241,35,25,1,9,gist,gist,64353,20194,330737472390
242,353,333,1,19,gist,standard,77930,46260,4730647137412
242,353,333,1,19,gist,gist,81653,48723,4459298157254
243,146,113,1,32,standard,standard,62411,32426,1940709051436
243,146,113,1,32,standard,gist,72012,28726,1500156160454
244,93,9,1,83,standard,standard,60980,27601,1233615904652
244,93,9,1,83,standard,gist,70011,19016,118990015238
245,46,32,1,13,gist,standard,62211,20454,609040014436
245,46,32,1,13,gist,gist,66507,20914,423461560448
246,56,26,1,29,standard,standard,61382,20462,741734135536
246,56,26,1,29,standard,gist,69483,20372,343980618800
247,24,7,1,16,gist,standard,66378,19428,317482769072
247,24,7,1,16,gist,gist,64304,18760,92540494398
248,84,64,1,19,gist,standard,66093,26989,1113836608712
248,84,64,1,19,gist,gist,64626,21725,847998697728
249,36,13,1,22,gist,standard,66731,19997,476450956136
249,36,13,1,22,gist,gist,62980,19159,171901664454
250,39,12,1,26,standard,standard,61466,20287,516216642032
250,39,12,1,26,standard,gist,68332,19168,158672176208
251,24,9,1,14,standard,standard,61050,19432,317482769072
251,24,9,1,14,standard,gist,65838,19026,118990015238
